,customer_id,customer_type,previous_cancellations,previous_bookings_not_canceled,country
0,4314618,Transient,0,0,PRT
1,950211,Transient,0,0,ESP
2,5633889,Transient,0,0,PRT
3,1301292,Transient,0,0,FRA
4,6108263,Contract,0,0,GBR
5,144663,Transient,0,0,PRT
6,7854773,Transient-Party,0,15,PRT
7,4439401,Transient,0,0,GBR
8,420292,Transient,0,0,GBR
9,4686361,Transient-Party,0,0,ITA
10,2013240,Transient,0,0,PRT
11,5581986,Transient,0,0,AUT
12,1146369,Transient-Party,0,0,ISR
13,9684538,Transient,0,0,BEL
14,836996,Transient,0,0,GBR
15,5049064,Transient,0,0,PRT
16,2198589,Transient,0,0,ESP
17,1513982,Transient-Party,0,0,PRT
18,8311593,Transient-Party,0,0,PRT
19,220886,Contract,0,0,GBR
20,8715565,Transient-Party,0,0,FRA
21,2630220,Transient,0,0,PRT
22,163688,Transient,0,0,FRA
23,7995749,Transient,0,0,USA
24,5131443,Transient,0,0,PRT
25,6174938,Transient,0,0,PRT
26,5322764,Transient-Party,0,0,DEU
27,793653,Transient,0,0,PRT
28,3236178,Transient,1,0,PRT
29,4527983,Transient,0,0,DEU
30,2258371,Transient,1,24,PRT
31,8616974,Transient,0,0,PRT
32,8773537,Transient,0,0,PRT
33,2926096,Transient,0,0,PRT
34,2730488,Transient-Party,0,0,PRT
35,8175277,Transient,1,0,PRT
36,7710164,Transient,0,0,GBR
37,7526164,Transient-Party,0,0,PRT
38,3930564,Transient,0,0,PRT
39,1870034,Transient,0,0,CHE
40,5334561,Transient,0,0,JPN
41,7232795,Transient,0,0,CHE
42,3228712,Transient,0,0,PRT
43,2387883,Transient,0,0,PRT
44,7654559,Transient,0,0,NLD
45,2055226,Transient,0,0,MAR
46,5319512,Transient,1,0,PRT
47,2374938,Transient,0,0,PRT
48,7274226,Transient-Party,0,0,FRA
49,4531136,Transient,0,0,FRA
50,6385507,Transient-Party,0,0,DEU
51,5503916,Transient-Party,0,0,ITA
52,7790198,Transient-Party,0,0,FRA
53,2714422,Transient,0,0,IRL
54,1821248,Transient,0,0,ESP
55,5047603,Transient,0,0,IRL
56,593916,Transient,0,0,PRT
57,1008101,Transient,0,0,PRT
58,8869480,Transient-Party,0,0,ITA
59,8013147,Transient,0,0,GBR
60,4132989,Transient,0,0,NLD
61,6103543,Transient,0,0,DEU
62,5546715,Transient-Party,0,0,DEU
63,3027985,Transient,0,0,DEU
64,7106158,Transient,0,0,FRA
65,395651,Transient,0,0,PRT
66,9550760,Transient,0,0,PRT
67,9586687,Transient,0,0,NOR
68,6171970,Transient,0,0,PRT
69,9737019,Transient-Party,0,0,SWE
70,645484,Transient,0,0,PRT
71,5849809,Transient,0,0,NLD
72,3031397,Transient,0,0,PRT
73,6656116,Transient,0,0,PRT
74,2799631,Transient,0,0,NOR
75,6725608,Transient-Party,0,0,ESP
76,1808510,Transient,0,0,PRT
77,579981,Transient,0,0,GBR
78,7402015,Transient,0,3,PRT
79,8439324,Transient,0,0,ESP
80,8820827,Transient,0,0,IRL
81,7080126,Transient-Party,0,0,PRT
82,2725469,Transient-Party,0,0,AUT
83,5557933,Transient,0,0,FRA
84,2198275,Transient,0,0,BRA
85,6830303,Transient-Party,1,0,PRT
86,2254127,Transient,0,0,ESP
87,1608882,Transient,0,0,PRT
88,1485739,Transient-Party,1,0,PRT
89,506721,Transient,0,0,PRT
90,8063057,Contract,0,0,GBR
91,7958840,Transient,0,0,PRT
92,9901122,Transient-Party,0,0,ITA
93,1342048,Transient,0,0,BEL
94,8047006,Transient,0,0,AGO
95,1195086,Transient-Party,0,0,PRT
96,7229246,Transient-Party,0,0,DEU
97,3536439,Transient,0,0,PRT
98,9642008,Transient,0,0,FRA
99,1142830,Transient,0,0,USA
100,7575924,Transient,0,0,ITA
101,1591357,Transient,0,0,PRT
102,5225012,Transient,0,0,FRA
103,624424,Transient,1,0,PRT
104,6382842,Transient,1,0,PRT
105,793201,Transient,0,0,ROU
106,909920,Transient-Party,0,0,BRA
107,1890326,Transient,0,0,POL
108,9164336,Transient,0,0,GBR
109,689447,Contract,0,0,PRT
110,5361177,Transient-Party,1,0,PRT
111,3248770,Transient,0,0,ITA
112,2312813,Transient-Party,0,0,SRB
113,6657887,Transient-Party,0,0,PRT
114,4878032,Transient-Party,0,0,ESP
115,9180773,Transient,0,0,GBR
116,5591313,Transient,0,0,PRT
117,5159334,Transient,0,0,PRT
118,5181925,Transient,0,0,IRL
119,3499333,Transient,0,0,RUS
120,6022973,Transient,0,0,PRT
121,6706750,Transient-Party,0,0,DEU
122,4357372,Transient,0,0,FRA
123,5753905,Transient,0,0,PRT
