,customer_id,customer_type,previous_cancellations,previous_bookings_not_canceled
0,2255316,Transient,0,0
1,3837180,Transient,0,0
2,3301538,Transient,0,0
3,1933883,Transient,0,0
4,9236190,Contract,0,0
5,5071528,Transient,0,0
6,3077961,Transient-Party,0,15
7,6240222,Transient,0,0
8,9399031,Transient,0,0
9,7028856,Transient-Party,0,0
10,843601,Transient,0,0
11,6629506,Transient,0,0
12,9146788,Transient-Party,0,0
13,8114807,Transient,0,0
14,6221519,Transient,0,0
15,3540586,Transient,0,0
16,9341214,Transient,0,0
17,8036029,Transient-Party,0,0
18,582863,Transient-Party,0,0
19,6866110,Contract,0,0
20,9419564,Transient-Party,0,0
21,7682132,Transient,0,0
22,653328,Transient,0,0
23,6179163,Transient,0,0
24,2525438,Transient,0,0
25,3572870,Transient,0,0
26,5763428,Transient-Party,0,0
27,747273,Transient,0,0
28,8358225,Transient,1,0
29,1827760,Transient,0,0
30,9168313,Transient,1,24
31,513274,Transient,0,0
32,8630469,Transient,0,0
33,9839226,Transient,0,0
34,613684,Transient-Party,0,0
35,9436134,Transient,1,0
36,9622189,Transient,0,0
37,1363075,Transient-Party,0,0
38,8960009,Transient,0,0
39,3623620,Transient,0,0
40,9365069,Transient,0,0
41,3681809,Transient,0,0
42,5247560,Transient,0,0
43,8295713,Transient,0,0
44,9718281,Transient,0,0
45,8385124,Transient,0,0
46,8328873,Transient,1,0
47,3300891,Transient,0,0
48,4947450,Transient-Party,0,0
49,1935304,Transient,0,0
50,9623149,Transient-Party,0,0
51,8093831,Transient-Party,0,0
52,223885,Transient-Party,0,0
53,8009955,Transient,0,0
54,6861595,Transient,0,0
55,8482877,Transient,0,0
56,4698455,Transient,0,0
57,1507790,Transient,0,0
58,282072,Transient-Party,0,0
59,6754354,Transient,0,0
60,1185343,Transient,0,0
61,4747754,Transient,0,0
62,4672223,Transient-Party,0,0
63,8289386,Transient,0,0
64,2115163,Transient,0,0
65,4525926,Transient,0,0
66,5830544,Transient,0,0
67,7631805,Transient,0,0
68,7683898,Transient,0,0
69,8003743,Transient-Party,0,0
70,3770997,Transient,0,0
71,6332945,Transient,0,0
72,4689760,Transient,0,0
73,8116648,Transient,0,0
74,1482040,Transient,0,0
75,1215638,Transient-Party,0,0
76,6451164,Transient,0,0
77,502906,Transient,0,0
78,2142254,Transient,0,3
79,318277,Transient,0,0
80,657241,Transient,0,0
81,3149653,Transient-Party,0,0
82,3268161,Transient-Party,0,0
83,6783760,Transient,0,0
84,5298538,Transient,0,0
85,8853368,Transient-Party,1,0
86,9521188,Transient,0,0
87,2613970,Transient,0,0
88,5428675,Transient-Party,1,0
89,8293224,Transient,0,0
90,9780690,Contract,0,0
91,6393158,Transient,0,0
92,4553835,Transient-Party,0,0
93,2738524,Transient,0,0
94,9262672,Transient,0,0
95,8663823,Transient-Party,0,0
96,3419315,Transient-Party,0,0
97,5065506,Transient,0,0
98,620463,Transient,0,0
99,5882812,Transient,0,0
100,7552169,Transient,0,0
101,5518386,Transient,0,0
102,9373314,Transient,0,0
103,5286394,Transient,1,0
104,4982761,Transient,1,0
105,5354738,Transient,0,0
106,5412540,Transient-Party,0,0
107,6178228,Transient,0,0
108,3324699,Transient,0,0
109,8177305,Contract,0,0
110,3334197,Transient-Party,1,0
111,8578349,Transient,0,0
112,7777017,Transient-Party,0,0
113,7236828,Transient-Party,0,0
114,754454,Transient-Party,0,0
115,1252405,Transient,0,0
116,5791337,Transient,0,0
117,5015717,Transient,0,0
118,4638915,Transient,0,0
119,5246451,Transient,0,0
120,2822430,Transient,0,0
121,5556685,Transient-Party,0,0
122,9687312,Transient,0,0
123,4766567,Transient,0,0
124,9616654,Transient,0,0
125,203642,Transient,0,0
126,7114829,Transient,1,0
127,1147944,Transient,0,0
128,6831453,Transient,0,0
129,6899150,Transient,0,0
130,4035035,Transient,0,0
131,2352086,Transient,0,0
132,5268346,Transient,0,0
133,7266292,Transient,0,0
134,7760369,Transient-Party,0,0
135,8505283,Transient,0,0
136,5127619,Transient,0,0
137,6870943,Transient,0,0
138,3327787,Transient,0,0
139,1757421,Transient,0,0
140,8710479,Transient,1,4
141,2706622,Transient,0,0
142,4294689,Transient,0,0
143,5243162,Transient,0,0
144,9649789,Group,0,14
145,6590484,Transient,0,0
146,4851995,Transient-Party,0,0
147,8650837,Transient,0,0
148,6818099,Transient-Party,0,0
149,1549023,Transient,0,0
150,7005712,Transient,0,0
151,5715819,Transient,0,0
152,9185108,Transient,0,0
153,846833,Transient,0,0
154,6632739,Transient,0,7
155,5895545,Transient,0,0
156,6680767,Transient,0,0
157,7781164,Transient-Party,0,0
158,1466902,Transient-Party,0,0
159,8771732,Transient-Party,0,0
160,9132045,Transient,0,0
161,7754899,Transient,0,0
162,5160703,Transient,0,0
163,7561379,Transient,0,0
164,1347167,Transient-Party,0,0
165,7759313,Transient,0,1
166,7663685,Transient,0,0
167,7711184,Transient,0,0
168,894592,Transient,0,0
169,8735904,Contract,0,0
170,5161614,Transient,0,0
171,1889794,Transient,0,0
172,114720,Transient,0,0
173,749700,Transient,0,0
174,6415876,Transient,0,0
175,3923632,Transient,0,0
176,9704930,Transient-Party,0,0
177,8752000,Transient-Party,0,0
178,3393421,Transient,0,0
179,3746560,Transient,0,0
180,3537340,Transient,0,0
181,6535087,Transient,0,0
182,9442054,Transient-Party,1,0
183,7380644,Contract,0,0
184,3517434,Contract,0,0
185,4507332,Transient,0,0
186,9410532,Transient-Party,0,0
187,9344984,Transient,0,0
188,2749214,Transient,1,0
189,8574228,Transient,0,0
190,7731039,Transient,0,0
191,9086378,Transient,0,0
192,5339258,Transient,0,0
193,336137,Transient,0,0
194,1969141,Transient-Party,0,0
195,9109485,Transient-Party,0,0
196,4853301,Transient,0,0
197,3536960,Transient,1,0
198,875012,Contract,1,0
199,6569110,Transient,0,1
200,4878006,Transient-Party,0,0
201,2394509,Transient-Party,0,0
202,4831784,Transient,0,0
203,2964589,Transient-Party,0,0
204,1602796,Transient,0,0
205,1951182,Transient-Party,0,0
206,8524117,Transient,0,0
207,2560665,Transient-Party,0,0
208,3763823,Transient,0,0
209,6479631,Transient-Party,0,0
210,6669206,Transient,0,0
211,7565519,Group,0,0
212,9792188,Transient,0,0
213,2716190,Transient,0,0
214,6293351,Contract,0,0
215,5054703,Transient,0,0
216,9397379,Transient-Party,0,0
217,8999759,Transient,0,0
218,8169080,Transient,0,0
219,1697930,Transient-Party,1,0
220,113688,Transient,0,0
221,9064188,Transient,0,0
222,7436179,Transient,0,0
223,9873696,Transient,0,0
224,3353745,Transient,1,0
225,4834739,Transient,0,0
226,5498808,Transient-Party,0,0
227,3520635,Transient,0,0
228,1195755,Transient-Party,0,0
229,5448892,Contract,0,0
230,2763293,Transient,0,0
231,4962896,Transient,0,0
232,1482730,Transient-Party,0,0
233,1859188,Transient,0,0
234,8190174,Transient,1,2
235,3059029,Transient,0,0
236,7631310,Transient,1,8
237,8445028,Transient-Party,0,0
238,9451721,Transient,0,0
239,1188539,Transient,0,0
240,1056869,Transient,0,0
241,764562,Transient,0,0
242,6959533,Transient-Party,0,0
243,4158347,Transient,0,0
244,6269265,Transient,0,0
245,8210489,Transient-Party,0,0
246,7339066,Transient-Party,0,0
247,856307,Transient,0,0
248,9018511,Transient-Party,0,0
249,5956387,Transient-Party,0,0
250,8779553,Transient,0,0
251,7088227,Transient-Party,0,0
252,5832659,Transient,0,0
253,3560128,Transient-Party,0,0
254,7751782,Transient,0,0
255,6840599,Transient,0,0
256,5116457,Transient,0,0
257,4167193,Transient,0,0
258,2147305,Transient,0,0
259,8207401,Transient-Party,0,0
260,7646086,Transient,0,0
261,1286511,Contract,0,0
262,441467,Contract,0,0
263,7598001,Transient,0,0
264,1007925,Transient,0,0
265,9492247,Transient-Party,0,0
266,7394641,Transient,0,0
267,3027425,Transient,0,0
268,7403618,Transient,0,0
269,2780412,Transient,0,0
270,5681272,Transient-Party,1,0
271,1740848,Transient,1,0
272,347301,Transient,0,0
273,7957348,Transient-Party,0,0
