,hotel_id,hotel,city
0,74637,Resort Hotel - Moscow,Moscow
1,83875,Resort Hotel - Saint Petersburg,Saint Petersburg
2,32145,Resort Hotel - Kazan,Kazan
3,43343,City Hotel - Kazan,Kazan
4,38556,City Hotel - Sochi,Sochi
5,97013,City Hotel - Kaliningrad,Kaliningrad
6,10572,City Hotel - Novosibirsk,Novosibirsk
8,65260,City Hotel - Yekaterinburg,Yekaterinburg
9,22389,City Hotel - Nizhny Novgorod,Nizhny Novgorod
10,65298,Resort Hotel - Sochi,Sochi
11,8866,City Hotel - Rostov-on-Don,Rostov-on-Don
12,78755,City Hotel - Krasnodar,Krasnodar
14,88790,Resort Hotel - Nizhny Novgorod,Nizhny Novgorod
15,41672,City Hotel - Vladivostok,Vladivostok
17,92164,Resort Hotel - Yekaterinburg,Yekaterinburg
19,99659,Resort Hotel - Samara,Samara
23,8668,City Hotel - Ufa,Ufa
24,56059,City Hotel - Moscow,Moscow
27,48022,Resort Hotel - Novosibirsk,Novosibirsk
28,64430,Resort Hotel - Krasnodar,Krasnodar
32,52784,Resort Hotel - Rostov-on-Don,Rostov-on-Don
33,86514,Resort Hotel - Perm,Perm
34,31395,City Hotel - Perm,Perm
35,88658,City Hotel - Volgograd,Volgograd
39,28127,City Hotel - Saint Petersburg,Saint Petersburg
63,40830,Resort Hotel - Ufa,Ufa
66,63626,Resort Hotel - Kaliningrad,Kaliningrad
87,95419,City Hotel - Samara,Samara
121,64065,Resort Hotel - Vladivostok,Vladivostok
172,48984,Resort Hotel - Volgograd,Volgograd
